Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,Nocturnal,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area,CollectionLon,CollectionLat,Phase,capture_quality,PostabsorptiveState,
Falco rupicoloides,Falconiformes,Falco rupicoloides,Falco_rupicoloides,Bird,214,40,15,33,247.5,9.9,NA,KhaliqHof,Invertebrate,0,NA,0,1,-3.4,8.1,-1.2,-0.3,5.55440214,7.11648,42.2,33.35,41.2,40.85,4.248170948,3.03933,17.13867188,-34.00628662,Falco_rupicoloides_22696398,356,30,-29.3,rest,captive,postabsorptive,
Leipoa ocellata,Galliformes,Leipoa ocellata,Leipoa_ocellata,Bird,1390,39.7,22,37,691.2,39.05,NA,KhaliqHof,PlantSeed,0,NA,0,1,1.1,4.7,3,3.4,1.420285845,1.03782,38.8,33.8,37.7,37.4,2.778123556,3.11346,-25.51629639,-37.03991699,Leipoa_ocellata_22678646,391,138.36,-34.55,active,trapped,postabsorptive,
Callipepla gambelii,Galliformes,Callipepla gambelii,Callipepla_gambelii,Bird,125.5,40,34,42,130,21.67,0.755555556,KhaliqHof,PlantSeed,0,0,0,0,-20.4,-10.3,-15.23,-14.82,5.281548183,6.6717,45.4,37.1,40.14,39.5,1.916289912,1.18608,45.43829346,24.57928467,Callipepla_gambelii_22679609,159,120,37,rest,trapped,postabsorptive,
Alectoris chukar,Galliformes,Alectoris chukar,Alectoris_chukar,Bird,475,40.7,24,39,337.5,20.21,1.961111111,KhaliqHof,PlantSeed,0,0,0,0,-36.9,-12.9,-31.4,-28.2,10.10381798,11.56428,46.7,31.9,43.3,41.7,7.056656904,6.37518,54.57312012,-45.57128906,Alectoris_chukar_22678691,1471,34.51,35.47,rest,trapped,postabsorptive,
Coturnix chinensis,Galliformes,Synoicus chinensis,Coturnix_chinensis,Bird,44.9,39,27,35,63.1,5.26,0.366666667,KhaliqHof,PlantSeed,0,0,0,1,-11.9,9.9,0.1,0.9,8.87834541,13.04688,41.4,32.1,38.45,37.6,3.993692054,2.07564,28.96163349,-39.24136011,Synoicus_chinensis_22678979,971,NA,NA,NA,NA,NA,
Coturnix pectoralis,Galliformes,Coturnix pectoralis,Coturnix_pectoralis,Bird,95.8,41.6,27,35,109.5,7.5,0.636111111,KhaliqHof,PlantSeed,0,0,0,1,-1.5,6.6,4.82,5.5,1.592566335,1.33434,39.6,37.1,39.4,38.6,2.970383618,1.92738,-14.85571289,-42.87762451,Coturnix_pectoralis_22678952,485,139.02,-35.17,rest,trapped,postabsorptive,
Lagopus leucura,Galliformes,Lagopus leucura,Lagopus_leucura,Bird,326,39.9,6,38,406.3,11.99,NA,KhaliqHof,PlantSeed,0,NA,0,0,-35.1,-29.3,-34.3,-33.8,7.212138074,6.6717,33.2,18.7,26,22.8,3.775583434,3.55824,67.72052002,35.06530762,Lagopus_leucura_22679473,581,-113.43,48.41,rest,trapped,postabsorptive,
Syrmaticus humiae,Galliformes,Syrmaticus humiae,Syrmaticus_humiae,Bird,398.83,40.36,23,29.2,773.9,48.8,NA,KhaliqHof,PlantSeed,0,NA,0,0,-7.4,2.7,-2.51,-1.4,4.079340649,3.55824,35.2,29.3,34.57,33.4,2.952452609,3.26172,27.44873047,19.14172363,Syrmaticus_humiae_22679330,167,110.19,25.15,active,trapped,postabsorptive,
Syrmaticus ellioti,Galliformes,Syrmaticus ellioti,Syrmaticus_ellioti,Bird,388.25,40.47,24.5,31.6,504.8,28.9,NA,KhaliqHof,PlantSeed,0,NA,0,0,-1.2,0.6,-0.695,-0.59,1.066029543,1.03782,34.5,32.3,34,33.59,1.330010813,1.03782,31.31231689,24.31152344,Syrmaticus_ellioti_22679325,162,110.19,25.15,active,trapped,postabsorptive,
Aramides cajanea,Gruiformes,Aramides cajaneus,Aramides_cajanea,Bird,374.3,40.2,30,38,265.3,26.01,1.541666667,KhaliqHof,Omnivore,0,0,0,0,-2.6,14.4,4.9,6.6,5.274977284,6.81996,35.7,32.4,34.9,34.3,1.584994704,1.33434,23.1217041,-35.25128174,Aramides_cajaneus_22692570,766,NA,NA,NA,NA,NA,
Gallinula ventralis,Gruiformes,Tribonyx ventralis,Gallinula_ventralis,Bird,309.2,39.7,20,40,277.7,14.1,1.613888889,KhaliqHof,PlantSeed,0,0,0,1,-3.4,6.9,2.34,4.04,2.352635075,1.63086,40.5,37.4,39.48,38.76,2.711759409,1.63086,-14.76098633,-38.90991211,Tribonyx_ventralis_22692893,485,NA,NA,NA,NA,NA,
Porphyrio porphyrio,Gruiformes,Porphyrio porphyrio,Porphyrio_porphyrio,Bird,919.3,39.6,14,38,636.2,24.85,3.697222222,KhaliqHof,PlantSeed,0,0,0,1,-21.1,12.2,-9.48,-3,10.53874914,13.49166,43,31.8,39.9,38.9,5.624295315,5.33736,47.50848389,-46.67529297,Porphyrio_porphyrio_22692792,2229,174.53,-40.54,rest,NA,postabsorptive,
Eremalauda dunni,Passeriformes,Eremalauda dunni,Eremalauda_dunni,Bird,20.6,40,31.5,41,47.8,5.62,0.277777778,KhaliqHof,PlantSeed,0,0,0,0,0.1,11.1,1.8,3.72,3.720962205,2.52042,47.3,40.4,46.4,45.4,3.148380433,2.2239,33.74951172,12.31152344,Eremalauda_dunni_22717376,663,41.5,22.15,rest,trapped,postabsorptive,
Cardinalis cardinalis,Passeriformes,Cardinalis cardinalis,Cardinalis_cardinalis,Bird,41,38.9,29,42.6,86.5,8.74,0.502777778,KhaliqHof,PlantSeed,0,0,0,0,-21.7,-13.1,-20.5,-19.3,9.085959373,6.6717,42.3,32.1,37.3,36.18,4.03184861,3.7065,47.33752441,15.64569092,Cardinalis_cardinalis_22723819,643,-110.58,32,rest,trapped,postabsorptive,
Cardinalis sinuatus,Passeriformes,Cardinalis sinuatus,Cardinalis_sinuatus,Bird,32,38.7,30,42.8,67.4,7.75,0.391666667,KhaliqHof,PlantSeed,0,0,0,0,-11,-4.05,-8.74,-7.74,4.90474481,4.37367,40.6,33.6,35.935,35.67,2.647653965,1.92738,34.88250732,20.30108643,Cardinalis_sinuatus_22723825,214,-110.58,32,rest,trapped,postabsorptive,
Coereba flaveola,Passeriformes,Coereba flaveola,Coereba_flaveola,Bird,10,40.7,25,35,36.8,2.34,0.213888889,KhaliqHof,FruiNect,0,0,0,0,6.2,14.8,8.025,9.65,3.290255971,2.81694,35.7,32.2,34.9,34.1,1.296168664,0.88956,27.2321167,-33.00500488,Coereba_flaveola_22722080,746,-65.45,18.19,rest,trapped,postabsorptive,
Aphelocoma coerulescens,Passeriformes,Aphelocoma coerulescens,Aphelocoma_coerulescens,Bird,78.72,41.5,12.4,24,165.4,5.68,NA,KhaliqHof,Omnivore,0,NA,0,1,5.6,6.85,5.7,5.7,2.241546471,1.55673,33.3,32.85,33.115,33.1,0.479575737,0.37065,30.50512695,25.49291992,Aphelocoma_coerulescens_22705629,38,-117.37,33.42,rest,trapped,postabsorptive,
Pica nuttalli,Passeriformes,Pica nuttalli,Pica_nuttalli,Bird,151.9,39.4,13.5,33.5,252.4,9.75,1.466666667,KhaliqHof,Omnivore,0,0,0,0,-10.1,-2.9,-7.66,-6.52,3.197198066,4.29954,36.8,30,36.26,33.78,4.956129014,4.4478,40.88592529,34.39672852,Pica_nuttalli_22705874,53,-121.26,38.33,rest,trapped,postabsorptive,
Pica pica,Passeriformes,Pica pica,Pica_pica,Bird,158.9,39.5,21,32.5,206,11.14,1.197222222,KhaliqHof,VertFishScav,0,0,0,0,-45.9,-27.9,-40.445,-38.89,12.52545617,9.48864,46.1,30.3,42.145,38.78,9.175956454,7.26474,71.18811035,14.9744873,Pica_pica_22705865,3172,-112.26,42.52,rest,trapped,postabsorptive,
Amadina fasciata,Passeriformes,Amadina fasciata,Amadina_fasciata,Bird,17.2,43.1,31,38,36.8,3.04,0.213888889,KhaliqHof,PlantSeed,0,0,0,0,-5.6,14.5,1.4,4.01,5.48012165,3.26172,43.1,40.4,42.4,42.1,2.838615332,1.92738,21.65130615,-30.60699463,Amadina_fasciata_22719927,762,28.43,-20.7,rest,captive,NA,
Erythrura gouldiae,Passeriformes,Erythrura gouldiae,Erythrura_gouldiae,Bird,15.5,42.1,31.7,38,37.4,3.6,NA,KhaliqHof,PlantSeed,0,NA,1,0,11.3,13.6,11.8,12.03,0.922862927,0.96369,39.3,37.6,38.97,38.8,0.782228176,0.88956,-12.4486084,-18.37597656,Erythrura_gouldiae_22719744,114,NA,NA,active,captive,NA,
Estrilda melpoda,Passeriformes,Estrilda melpoda,Estrilda_melpoda,Bird,7.5,43,35,43,22.5,2.81,0.130555556,KhaliqHof,PlantSeed,0,0,0,0,9.5,15.9,12.3,13.13,2.256366129,2.81694,42.3,37.1,40.785,39.9,3.885277294,3.40998,32.3939209,-11.53308106,Estrilda_melpoda_22719558,624,NA,NA,NA,captive,NA,
Carpodacus mexicanus,Passeriformes,Carpodacus mexicanus,Carpodacus_mexicanus,Bird,20.4,39,25,33,53.5,3.15,0.311111111,KhaliqHof,PlantSeed,0,0,0,0,-19.7,-14.2,-18.3,-18,3.98668816,4.00302,37.5,31.5,35.55,34.4,4.736606404,4.00302,50.65167236,16.78808594,Carpodacus_mexicanus_22720563,771,-117.21,33.52,rest,trapped,notpostabsorptive,
Lanius collaris,Passeriformes,Lanius collaris,Lanius_collaris,Bird,43.8,40,25,35,32,2.13,NA,KhaliqHof,Invertebrate,0,NA,0,1,5.6,13.25,7.2,7.7,5.688165038,8.08017,41.4,33.4,38.6,37.7,2.716712583,2.66868,16.70690918,-34.83978272,Lanius_collaris_22705074,626,30.59,-29.53,rest,trapped,postabsorptive,
