Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,ForStrat,Nocturnal,Climate_McN,Torpor_McN,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area
Gallinula ventralis,Gruiformes,Tribonyx ventralis,Gallinula_ventralis,Bird,309.2,39.7,20,40,277.7,14.1,1.613888889,KhaliqHof,PlantSeed,NA,0,T,N,0,0,1,-3.4,6.9,2.34,4.04,2.352635075,1.63086,40.5,37.4,39.48,38.76,2.711759409,1.63086,-14.76098633,-38.90991211,Tribonyx_ventralis_22692893,485
Porphyrio porphyrio,Gruiformes,Porphyrio porphyrio,Porphyrio_porphyrio,Bird,919.3,39.6,14,38,636.2,24.85,3.697222222,KhaliqHof,PlantSeed,NA,0,TR,N,0,0,1,-21.1,12.2,-9.48,-3,10.53874914,13.49166,43,31.8,39.9,38.9,5.624295315,5.33736,47.50848389,-46.67529297,Porphyrio_porphyrio_22692792,2229
Eremalauda dunni,Passeriformes,Eremalauda dunni,Eremalauda_dunni,Bird,20.6,40,31.5,41,47.8,5.62,0.277777778,KhaliqHof,PlantSeed,NA,0,TR,N,0,0,0,0.1,11.1,1.8,3.72,3.720962205,2.52042,47.3,40.4,46.4,45.4,3.148380433,2.2239,33.74951172,12.31152344,Eremalauda_dunni_22717376,663
Cardinalis cardinalis,Passeriformes,Cardinalis cardinalis,Cardinalis_cardinalis,Bird,41,38.9,29,42.6,86.5,8.74,0.502777778,KhaliqHof,PlantSeed,NA,0,T,N,0,0,0,-21.7,-13.1,-20.5,-19.3,9.085959373,6.6717,42.3,32.1,37.3,36.18,4.03184861,3.7065,47.33752441,15.64569092,Cardinalis_cardinalis_22723819,643
Cardinalis sinuatus,Passeriformes,Cardinalis sinuatus,Cardinalis_sinuatus,Bird,32,38.7,30,42.8,67.4,7.75,0.391666667,KhaliqHof,PlantSeed,NA,0,T,N,0,0,0,-11,-4.05,-8.74,-7.74,4.90474481,4.37367,40.6,33.6,35.935,35.67,2.647653965,1.92738,34.88250732,20.30108643,Cardinalis_sinuatus_22723825,214
Coereba flaveola,Passeriformes,Coereba flaveola,Coereba_flaveola,Bird,10,40.7,25,35,36.8,2.34,0.213888889,KhaliqHof,FruiNect,NA,0,TR,N,0,0,0,6.2,14.8,8.025,9.65,3.290255971,2.81694,35.7,32.2,34.9,34.1,1.296168664,0.88956,27.2321167,-33.00500488,Coereba_flaveola_22722080,746
Aphelocoma coerulescens,Passeriformes,Aphelocoma coerulescens,Aphelocoma_coerulescens,Bird,78.72,41.5,12.4,24,165.4,5.68,NA,KhaliqHof,Omnivore,NA,0,NA,NA,NA,0,1,5.6,6.85,5.7,5.7,2.241546471,1.55673,33.3,32.85,33.115,33.1,0.479575737,0.37065,30.50512695,25.49291992,Aphelocoma_coerulescens_22705629,38
Pica nuttalli,Passeriformes,Pica nuttalli,Pica_nuttalli,Bird,151.9,39.4,13.5,33.5,252.4,9.75,1.466666667,KhaliqHof,Omnivore,NA,0,T,N,0,0,0,-10.1,-2.9,-7.66,-6.52,3.197198066,4.29954,36.8,30,36.26,33.78,4.956129014,4.4478,40.88592529,34.39672852,Pica_nuttalli_22705874,53
Pica pica,Passeriformes,Pica pica,Pica_pica,Bird,158.9,39.5,21,32.5,206,11.14,1.197222222,KhaliqHof,VertFishScav,NA,0,T,N,0,0,0,-45.9,-27.9,-40.445,-38.89,12.52545617,9.48864,46.1,30.3,42.145,38.78,9.175956454,7.26474,71.18811035,14.9744873,Pica_pica_22705865,3172
Amadina fasciata,Passeriformes,Amadina fasciata,Amadina_fasciata,Bird,17.2,43.1,31,38,36.8,3.04,0.213888889,KhaliqHof,PlantSeed,NA,0,T/TR,N,0,0,0,-5.6,14.5,1.4,4.01,5.48012165,3.26172,43.1,40.4,42.4,42.1,2.838615332,1.92738,21.65130615,-30.60699463,Amadina_fasciata_22719927,762
Erythrura gouldiae,Passeriformes,Erythrura gouldiae,Erythrura_gouldiae,Bird,15.5,42.1,31.7,38,37.4,3.6,NA,KhaliqHof,PlantSeed,NA,0,NA,NA,NA,1,0,11.3,13.6,11.8,12.03,0.922862927,0.96369,39.3,37.6,38.97,38.8,0.782228176,0.88956,-12.4486084,-18.37597656,Erythrura_gouldiae_22719744,114
Carpodacus mexicanus,Passeriformes,Carpodacus mexicanus,Carpodacus_mexicanus,Bird,20.4,39,25,33,53.5,3.15,0.311111111,KhaliqHof,PlantSeed,NA,0,T,N,0,0,0,-19.7,-14.2,-18.3,-18,3.98668816,4.00302,37.5,31.5,35.55,34.4,4.736606404,4.00302,50.65167236,16.78808594,Carpodacus_mexicanus_22720563,771
Lanius collaris,Passeriformes,Lanius collaris,Lanius_collaris,Bird,43.8,40,25,35,32,2.13,NA,KhaliqHof,Invertebrate,NA,0,NA,NA,NA,0,1,5.6,13.25,7.2,7.7,5.688165038,8.08017,41.4,33.4,38.6,37.7,2.716712583,2.66868,16.70690918,-34.83978272,Lanius_collaris_22705074,626
Malurus cyaneus,Passeriformes,Malurus cyaneus,Malurus_cyaneus,Bird,8.2,41,26,35,24.9,1.66,NA,KhaliqHof,Invertebrate,NA,0,NA,NA,NA,0,1,1.9,5.1,3.3,3.6,2.806954327,2.07564,34.9,32.4,34.5,33.7,1.594555989,1.4826,-22.76428223,-43.61572266,Malurus_cyaneus_22703736,221
Eremiornis carteri,Passeriformes,Eremiornis carteri,Eremiornis_carteri,Bird,12.3,39.1,30,39,34.1,3.75,NA,KhaliqHof,Invertebrate,NA,0,NA,NA,NA,0,0,2.1,7,3.1,3.9,1.879462633,1.4826,41.2,38.5,40.79,40.2,1.502063319,1.4826,-16.85070801,-26.78277588,Eremiornis_carteri_22715517,403
Passer domesticus,Passeriformes,Passer domesticus,Passer_domesticus,Bird,23,38.6,20,35,63.1,3.39,0.366666667,KhaliqHof,PlantSeed,NA,0,T,N,0,0,0,-55.5,-24,-44.9,-42.3,19.95866653,17.64294,47.1,29.4,42.9,38.1,7.344559999,6.96822,71.18811035,-55.97680664,Passer_domesticus_22718174,3453
Onychognathus morio,Passeriformes,Onychognathus morio,Onychognathus_morio,Bird,128,39.1,15,30,221.3,9.18,NA,KhaliqHof,Omnivore,NA,0,NA,NA,NA,0,1,-1.9,13.9,5.7,8,3.770351937,1.92738,42.4,38.1,41.8,41.5,3.812499679,3.7065,17.45269775,-34.83978272,Onychognathus_morio_22710610,658
Onychognathus tristramii,Passeriformes,Onychognathus tristramii,Onychognathus_tristramii,Bird,123,40.6,21.5,36.5,196,10.26,NA,KhaliqHof,FruiNect,NA,0,NA,NA,NA,0,0,1.1,9.8,2.98,3.56,3.350040665,3.26172,43.6,36.3,40.5,40.3,3.340168449,4.4478,33.06768799,13.34887695,Onychognathus_tristramii_22710604,277
Acridotheres cristatellus,Passeriformes,Acridotheres cristatellus,Acridotheres_cristatellus,Bird,117.7,41.4,25,32.5,119.5,7.29,1.2092,KhaliqHof,Omnivore,NA,0,NA,NA,NA,0,1,-18.8,-4.7,-16.06,-13.56,8.384703207,4.4478,34.8,31.7,33.63,33.16,1.854234324,1.33434,49.29187012,-1.049377441,Acridotheres_cristatellus_22710946,355
Hylophylax naevioides,Passeriformes,Hylophylax naevioides,Hylophylax_naevioides,Bird,16.1,40,30,34,41.1,4.11,0.238888889,KhaliqHof,Invertebrate,NA,0,TR,N,0,0,0,8,17.9,10.26,13.2,3.030826928,2.2239,35,31.6,34.4,34.2,2.238484437,1.92738,16.02709961,-2.894897461,Hylophylax_naevioides_22701911,185
Cyanerpes cyaneus,Passeriformes,Cyanerpes cyaneus,Cyanerpes_cyaneus,Bird,13.5,40.22,25,35,46.8,3.07,0.272222222,KhaliqHof,FruiNect,NA,0,TR,N,0,0,0,2.4,17.1,10.7,12.4,3.440083778,2.9652,36.6,32.4,35,34.3,1.701617511,1.18608,23.1940918,-23.35791016,Cyanerpes_cyaneus_22723012,774
Thryothorus ludovicianus,Passeriformes,Thryothorus ludovicianus,Thryothorus_ludovicianus,Bird,14.9,39.4,27,35,61.7,4.98,0.358333333,KhaliqHof,Invertebrate,NA,0,T,N,0,0,0,-15.3,-10.2,-14.7,-13.4,3.806263786,2.52042,36.9,32.1,34.1,33.2,2.387754018,1.18608,45.64331055,12.63751221,Thryothorus_ludovicianus_22711450,381
Aulacorhynchus prasinus,Piciformes,Aulacorhynchus prasinus,Aulacorhynchus_prasinus,Bird,174.7,38.1,23,34,142.9,9.46,0.830555556,KhaliqHof,Omnivore,NA,0,TR,N,0,0,0,1.4,16.8,3.27,4.28,5.64175782,2.81694,35.7,33.6,35.4,35.22,1.175234315,1.18608,22.91302846,12.47408364,Aulacorhynchus_prasinus_22726170,179
